# x_refit sx_refit y_refit sy_refit
1.257700 0.053155 0.893993 0.140760
1.307400 0.052450 1.182543 0.181295
-0.317719 0.084330 -0.117852 0.132112
0.520930 0.071865 0.634073 0.138760
0.834950 0.044025 0.739353 0.138300
0.649651 0.060530 0.548413 0.186945
1.579600 0.053800 1.217193 0.152040
1.210381 0.054910 1.076143 0.192985
0.930040 0.058215 1.308593 0.073680
0.127940 0.206080 0.105065 0.189752
0.689780 0.163020 0.579563 0.189795
1.117400 0.033025 0.829333 0.039575
1.092230 0.055705 1.035023 0.143120
0.625580 0.074215 0.406613 0.160280
1.132940 0.055540 1.136743 0.093920
0.996540 0.029185 0.828913 0.069810
0.663230 0.075195 0.728883 0.150060
1.333800 0.032000 1.158013 0.089845
0.113780 0.114675 0.143514 0.167505
-0.513850 0.153735 -0.675589 0.179875
-0.383710 0.200505 -0.390681 0.163431
-0.654270 0.194325 -0.783218 0.196720
-0.499820 0.189880 -0.733851 0.204534
-0.446370 0.163070 -0.382968 0.157150
-0.925010 0.485350 -1.220540 0.260216
-0.502060 0.263585 -0.473305 0.193330
-0.468960 0.171280 -0.382459 0.169806
-0.774780 0.104550 -0.682495 0.147850
-1.472590 0.258515 -1.533681 0.205881
-0.454350 0.164040 -0.467556 0.155828
-0.775970 0.221710 -0.586797 0.159117
-1.676560 0.186535 -1.512158 0.138465
-0.916600 0.258840 -1.021060 0.170574
-0.519100 0.221055 -0.928300 0.208581
-1.322930 0.189125 -1.258240 0.175668
-1.835570 0.154705 -1.555959 0.104217
-1.474940 0.202300 -1.296008 0.139307
-0.710320 0.212125 -0.637328 0.193835
-0.434740 0.156265 -0.469019 0.155342
-1.378420 0.292865 -1.101923 0.198666
-1.922560 0.193715 -1.414433 0.107930
-0.373569 0.168390 -0.414235 0.151205
-0.824700 0.252940 -1.245249 0.242599
-1.476290 0.134140 -1.302669 0.123760
