# id x_refit sx_refit y_refit sy_refit sx_refit2 sy_refit2 covxy_refit corrxy_refit sigxp2 sigyp2 theta
272 1.149989 0.053000 1.189895 0.239495 0.002809 0.057358 -0.005769 -0.285260 0.057961 0.002206 -84.028801
273 -0.039070 0.055045 -0.223555 0.083636 0.003030 0.006995 -0.000201 -0.234720 0.007005 0.003020 -87.107521
274 0.576790 0.031090 0.995515 0.027700 0.000967 0.000767 -0.000064 -0.288930 0.000985 0.000749 -16.339901
275 -0.032821 0.078290 -0.249433 0.167466 0.006129 0.028045 -0.001070 -0.517010 0.028097 0.006077 -87.212471
276 0.826400 0.101210 0.615345 0.162470 0.010243 0.026396 0.001638 0.031671 0.026561 0.010079 84.269363
277 0.253240 0.055230 -0.313258 0.144829 0.003050 0.020976 -0.000638 -0.349160 0.020998 0.003028 -87.964394
278 0.582560 0.035850 0.740745 0.183280 0.001285 0.033592 -0.001324 -0.110810 0.033646 0.001231 -87.657448
280 -0.447950 0.080420 -0.762114 0.287010 0.006467 0.082375 -0.011099 -0.262960 0.083964 0.004878 -81.849602
283 0.324030 0.074100 0.336235 0.256804 0.005491 0.065948 -0.002681 -0.057716 0.066067 0.005372 -87.465645
284 0.793320 0.017490 0.902045 0.071950 0.000306 0.005177 -0.000011 -0.030823 0.005177 0.000306 -89.867271
285 -0.085330 0.091730 -0.186355 0.357578 0.008414 0.127862 -0.015115 -0.521370 0.129745 0.006531 -82.898849
286 0.754789 0.017940 0.999285 0.066080 0.000322 0.004367 -0.000054 -0.186480 0.004367 0.000321 -89.233437
287 -0.181150 0.024115 0.046577 0.073483 0.000582 0.005400 -0.004680 -0.598080 0.008254 -0.002273 -58.618702
291 -1.228770 0.028680 -1.126747 0.125602 0.000823 0.015776 0.000151 0.101940 0.015777 0.000821 89.419960
293 1.085790 0.074050 0.857615 0.231085 0.005483 0.053400 0.014177 0.241540 0.057281 0.001603 74.692894
294 0.684330 0.035290 0.718565 0.170530 0.001245 0.029080 -0.001309 -0.558590 0.029142 0.001184 -87.312637
295 -0.988621 0.130190 -0.895049 0.173084 0.016949 0.029958 -0.005342 -0.100850 0.031870 0.015037 -70.303307
297 1.194690 0.056500 1.173105 0.253800 0.003192 0.064414 -0.006486 -0.669280 0.065094 0.002513 -84.018707
