# id x_refit sx_refit y_refit sy_refit covxy_refit corrxy_refit
306 -1.145585 0.190810 -1.380650 0.218043 -0.018457 -0.444290
307 0.176565 0.057050 -0.179283 0.179288 -0.003376 -0.338570
308 0.659075 0.032735 0.755857 0.022570 0.000713 0.336250
309 0.987665 0.055260 1.043147 0.040505 -0.000009 -0.003346
310 0.096375 0.021965 0.087233 0.031888 0.000032 0.037329
313 -0.983145 0.120095 -1.270761 0.229644 -0.010041 -0.376360
318 0.121215 0.064825 0.143887 0.058332 0.001127 0.221270
319 -1.373315 0.093975 -1.233732 0.148767 0.005551 0.417570
322 -1.102955 0.145925 -1.240507 0.182671 -0.007840 -0.312890
323 0.355605 0.026290 0.237888 0.044945 -0.000150 -0.118710
325 -0.632725 0.075540 -0.561476 0.078938 0.001109 0.144600
326 -0.293665 0.065920 -0.155378 0.050277 0.001067 0.290920
327 0.551865 0.085655 0.631617 0.060200 0.001750 0.217830
331 0.088445 0.042125 0.112146 0.035552 -0.000026 -0.014231
332 1.064885 0.025420 0.984057 0.056180 0.001495 0.565070
334 0.569495 0.067795 0.750147 0.135470 -0.003610 -0.423880
336 0.676135 0.068815 0.797287 0.120985 -0.001665 -0.194960
340 1.066715 0.051065 1.116217 0.203780 -0.002524 -0.268010
342 0.876865 0.027805 0.809217 0.050925 0.000553 0.146380
344 1.092315 0.031505 0.903487 0.114225 -0.002340 -0.554650
347 0.346265 0.080130 0.401937 0.077825 0.003122 0.297900
350 -0.169044 0.126550 0.045025 0.085330 -0.006720 -0.607740
351 1.388125 0.030650 1.166247 0.128925 -0.003681 -0.611570
353 0.820955 0.023115 0.787097 0.043280 0.000898 0.357960
354 0.398255 0.050460 0.599167 0.093925 -0.001226 -0.240650
355 1.592925 0.043400 1.694098 0.163595 -0.001562 -0.118870
361 0.098705 0.075955 0.178627 0.160269 -0.002197 -0.202070
362 1.287825 0.032200 1.334267 0.021760 0.000731 0.313250
363 0.358455 0.092065 0.335667 0.162520 -0.005193 -0.383740
364 0.658545 0.056320 0.671438 0.056455 -0.000235 -0.051754
365 1.022545 0.035300 1.105047 0.021545 0.000081 0.099703
366 1.409725 0.040700 1.419307 0.089840 -0.000972 -0.220950
367 1.385025 0.036500 1.390427 0.041845 0.000065 0.011348
369 0.910095 0.031565 0.727847 0.105995 -0.002450 -0.509970
371 -0.370135 0.135380 -0.101681 0.090773 -0.007201 -0.565390
